name;tier;dv10
Greymon;1;99
Growlmon;1;99
Dinohumon;1;99
Grizzmon;1;99
Hookmon;1;99
Angemon;1;99
Kyubimon;1;99
ExVeemon;1;99
Stingmon;1;99
MetalGreymon;2;94
WarGrowlmon;2;94
Kyukimon;2;94
GrapLeomon;2;94
Armormon;2;94
MagnaAngemon;2;94
Taomon;2;94
Paildramon;2;94
SkullGreymon;2;94
MetalMamemon;2;94
Kabuterimon;2;94
Angewomon;2;94
Devimon;2;94
WarGreymon;3;89
Gallantmon;3;89
GuardiAngemon;3;89
Marsmon;3;89
Cannondramon;3;89
Seraphimon;3;89
Sakuyamon;3;89
Imperialdramon;3;89
BlackWarGreymon;3;89
MetalGarurumon;3;89
Rosemon;3;89
Digitamamon;3;89
Myotismon;3;89
Imperialdramon FighterMode;4;79
MegaGargomon;4;79
GranKuwagamon;4;79
Phoenixmon;4;79
MaloMyotismon;4;79
Omnimon;5;59
Imperialdramon PaladinMode;5;59
Diaboromon;5;59
Beelzemon;5;59
